Commit Message,Created Date (UTC Timestamp),Files Updated,Diff,Author
chore(deps): update dependency @types/node to v18.16.16,1685894461.0,"['package.json', 'pnpm-lock.yaml']","[('package.json', [115], [115]), ('pnpm-lock.yaml', [52, 53, 122, 158, 234, 553, 881, 1000, 1101, 6848, 6867, 7043, 7055, 7067, 7088, 7133, 7140, 7167, 7177, 7203, 7215, 7256, 7295, 7484, 7495, 7506, 7518, 8124, 10055, 10060, 10067, 10077, 10099, 10104, 10175, 10200, 10206, 10217, 10243, 10294, 10311, 10346, 10387, 10388, 10530, 10535, 10544, 10568, 10581, 10598, 10625, 10662, 10677, 10685, 10696, 10701, 10707, 10731, 12711, 12724, 16987, 16995, 18816, 18830, 18840, 18861, 18878, 18891, 18906, 18927, 18940, 18950, 19047, 19064, 19104, 19139, 19199, 19733, 19744, 21478, 21506, 21556, 21573, 21617, 21625, 21640, 21660, 21746, 21787, 21799, 21828, 21851, 21871, 21892, 22018, 22026, 22135, 22167, 22228, 22251, 22259, 22329, 22341, 22352, 22364, 22416, 22429, 22443, 22455, 22463, 22471, 22480, 22507, 22520, 24104, 24113, 26832, 26849, 31841, 31851, 31870], [52, 53, 122, 158, 234, 553, 881, 1000, 1101, 6848, 6867, 7043, 7055, 7067, 7088, 7133, 7140, 7167, 7177, 7203, 7215, 7256, 7295, 7484, 7495, 7506, 7518, 8124, 10055, 10060, 10067, 10077, 10099, 10104, 10175, 10200, 10206, 10217, 10243, 10294, 10311, 10346, 10527, 10532, 10541, 10565, 10578, 10595, 10622, 10659, 10674, 10682, 10693, 10698, 10704, 10728, 12708, 12721, 16984, 16992, 18813, 18827, 18837, 18858, 18875, 18888, 18903, 18924, 18937, 18947, 19044, 19061, 19101, 19136, 19196, 19730, 19741, 21475, 21503, 21553, 21570, 21614, 21622, 21637, 21657, 21743, 21784, 21796, 21825, 21848, 21868, 21889, 22015, 22023, 22132, 22164, 22225, 22248, 22256, 22326, 22338, 22349, 22361, 22413, 22426, 22440, 22452, 22460, 22468, 22477, 22504, 22517, 24101, 24110, 26829, 26846, 31838, 31848, 31867])]",renovate[bot]
fix(deps): update prisma monorepo to v4.15.0,1685843536.0,"['api/package.json', 'pnpm-lock.yaml']","[('api/package.json', [14, 32], [14, 32]), ('pnpm-lock.yaml', [193, 194, 239, 240, 7858, 7859, 7868, 7869, 7872, 7873, 7876, 7877, 27527, 27528, 27533], [193, 194, 239, 240, 7858, 7859, 7868, 7869, 7872, 7873, 7876, 7877, 27527, 27528, 27533])]",renovate[bot]
fix(deps): update dependency @stripe/stripe-js to v1.54.0,1685833487.0,"['client/package.json', 'pnpm-lock.yaml']","[('client/package.json', [58], [58]), ('pnpm-lock.yaml', [502, 504, 505, 9746, 9753, 9759, 9760], [502, 504, 505, 9746, 9753, 9759, 9760])]",renovate[bot]
chore(deps): update dependency webpack-bundle-analyzer to v4.9.0,1685822663.0,"['package.json', 'pnpm-lock.yaml']","[('package.json', [152], [152]), ('pnpm-lock.yaml', [163, 164, 887, 11268, 11276, 11287, 32960, 32962, 32963, 32964, 32965, 32966, 32967, 32968, 32969, 32970, 32971, 32972, 32973, 32974, 32975, 32976, 32977, 32978, 32979, 32981, 33013, 33260], [163, 164, 887, 11268, 11276, 11287, 32961, 32993, 33240])]",renovate[bot]
chore(deps): update dependency mongodb to v5.6.0,1685806964.0,"['pnpm-lock.yaml', 'tools/scripts/seed/package.json']","[('pnpm-lock.yaml', [1242, 1243, 24867, 24868], [1242, 1243, 24867, 24868]), ('tools/scripts/seed/package.json', [25], [25])]",renovate[bot]
"fix(curriculum) require creating store (#50575)

Co-authored-by: Tom <20648924+moT01@users.noreply.github.com>",1685797503.0,['curriculum/challenges/english/03-front-end-development-libraries/redux/write-a-counter-with-redux.md'],"[('curriculum/challenges/english/03-front-end-development-libraries/redux/write-a-counter-with-redux.md', [31, 33, 34, 35], [])]",Jacques Metevier
fix(deps): update dependency @headlessui/react to v1.7.15,1685793827.0,"['pnpm-lock.yaml', 'tools/ui-components/package.json']","[('pnpm-lock.yaml', [1254, 1255, 6969, 6970], [1254, 1255, 6969, 6970]), ('tools/ui-components/package.json', [29], [29])]",renovate[bot]
"fix(client): underline links for all languages (#50571)

Co-authored-by: Aaron <a.rcottrill521@gmail.com>",1685786021.0,['client/src/components/layouts/global.css'],"[('client/src/components/layouts/global.css', [166, 167, 169, 170, 171, 172], [])]",Mustafa El Rouby
chore(deps): update dependency @types/jest to v29.5.2,1685777697.0,"['client/package.json', 'package.json', 'pnpm-lock.yaml', 'tools/ui-components/package.json']","[('client/package.json', [147], [147]), ('package.json', [113], [113]), ('pnpm-lock.yaml', [46, 47, 763, 764, 1321, 1322, 3646, 3655, 10275, 10276, 10617, 12505, 12517], [46, 47, 763, 764, 1321, 1322, 2332, 2333, 2334, 3650, 3659, 10279, 10280, 10621, 12509, 12521]), ('tools/ui-components/package.json', [53], [53])]",renovate[bot]
chore(deps): update babel monorepo,1685770474.0,"['client/package.json', 'curriculum/package.json', 'package.json', 'pnpm-lock.yaml', 'tools/ui-components/package.json']","[('client/package.json', [39, 42], [39, 42]), ('curriculum/package.json', [34], [34]), ('package.json', [106], [106]), ('pnpm-lock.yaml', [1, 3, 4, 5, 25, 26, 447, 448, 456, 457, 906, 907, 1270, 1271, 2351, 2374, 2416, 2418, 2420, 2421, 2422, 2423, 2485, 2504, 2511, 2519, 2539, 2589, 2591, 2593, 2608, 2610, 2612, 2626, 2628, 2630, 2636, 2642, 2654, 2656, 2662, 2675, 2676, 2681, 2683, 2684, 2685, 2686, 2687, 2688, 2689, 2690, 2691, 2692, 2694, 2695, 2700, 2703, 2704, 2752, 2768, 2783, 2831, 2837, 2838, 2844, 2850, 2873, 2874, 2875, 2878, 2899, 2920, 2922, 2937, 2951, 2964, 2984, 3005, 3013, 3014, 3015, 3026, 3069, 3154, 3182, 3183, 3194, 3195, 3206, 3222, 3457, 3470, 3483, 3498, 3512, 3525, 3536, 3546, 3650, 3659, 4092, 4102, 4316, 4320, 4336, 4340, 4355, 4359, 4373, 4431, 4442, 4452, 4599, 4611, 4622, 4729, 4766, 4807, 4849, 4862, 4874, 4886, 5012, 5025, 5037, 5277, 5290, 5303, 5629, 5759, 5760, 5840, 5849, 5850, 5930, 5960, 5973, 5985, 6103, 6104, 6112, 6113, 6114, 6129, 6130, 6134, 6135, 6175, 6176, 6177, 6178, 6179, 6180, 6181, 8486, 9115, 9293, 9295, 9447, 9448, 9449, 9450, 9845, 9875, 9912, 10029, 10030, 12440, 12496, 12572, 12711, 12724, 13215, 13263, 17493, 18857, 18976, 18981, 18982, 18983, 21384, 22272, 22299, 22302, 22303, 33402], [1, 21, 22, 443, 444, 452, 453, 902, 903, 1266, 1267, 2347, 2370, 2412, 2414, 2416, 2417, 2418, 2419, 2481, 2487, 2488, 2489, 2490, 2491, 2492, 2493, 2494, 2509, 2516, 2524, 2535, 2536, 2537, 2538, 2539, 2540, 2541, 2542, 2543, 2544, 2546, 2547, 2548, 2549, 2550, 2551, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 2569, 2570, 2571, 2573, 2574, 2575, 2634, 2636, 2638, 2653, 2655, 2657, 2671, 2673, 2675, 2681, 2687, 2700, 2706, 2719, 2720, 2721, 2722, 2723, 2724, 2725, 2726, 2727, 2728, 2730, 2731, 2736, 2738, 2740, 2741, 2746, 2796, 2812, 2827, 2867, 2868, 2869, 2879, 2885, 2886, 2892, 2894, 2895, 2896, 2897, 2898, 2904, 2921, 2922, 2923, 2924, 2925, 2926, 2927, 2928, 2929, 2930, 2931, 2932, 2934, 2935, 2936, 2943, 2944, 2945, 2968, 2989, 2991, 3006, 3020, 3021, 3022, 3024, 3025, 3026, 3027, 3028, 3029, 3030, 3031, 3032, 3033, 3046, 3066, 3087, 3095, 3096, 3097, 3108, 3151, 3236, 3264, 3265, 3276, 3277, 3288, 3304, 3539, 3552, 3565, 3580, 3594, 3607, 3618, 3628, 3732, 3741, 4174, 4184, 4398, 4402, 4418, 4422, 4437, 4441, 4455, 4513, 4524, 4534, 4681, 4693, 4704, 4811, 4848, 4889, 4931, 4944, 4956, 4968, 5094, 5107, 5119, 5359, 5372, 5385, 5711, 5841, 5842, 5922, 5931, 5932, 6012, 6042, 6055, 6067, 6185, 6186, 6194, 6195, 6210, 6211, 6212, 6213, 6214, 6215, 6216, 6217, 6218, 6219, 6220, 6222, 6223, 6224, 6225, 6226, 6227, 6228, 6232, 6233, 8576, 9205, 9383, 9385, 9537, 9538, 9539, 9540, 9935, 9965, 10002, 10119, 10120, 12530, 12586, 12662, 12801, 12814, 13305, 13353, 17583, 18947, 19066, 19071, 19072, 19073, 21474, 22362, 22389, 22392, 22393, 33492]), ('tools/ui-components/package.json', [36], [36])]",renovate[bot]
