issue_id,issue_number,title,state,created,closed,labels,user,assignees,closed_by
1755708256,197,Slot Online Gacor Terbaru dan Terpercaya Hari ini,closed,1686693738.0,1686694022.0,[],"{'login': 'Itomaukemana', 'id': 136518238, 'node_id': 'U_kgDOCCMaXg', 'avatar_url': 'https://avatars.githubusercontent.com/u/136518238?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Itomaukemana', 'html_url': 'https://github.com/Itomaukemana', 'followers_url': 'https://api.github.com/users/Itomaukemana/followers', 'following_url': 'https://api.github.com/users/Itomaukemana/following{/other_user}', 'gists_url': 'https://api.github.com/users/Itomaukemana/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Itomaukemana/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Itomaukemana/subscriptions', 'organizations_url': 'https://api.github.com/users/Itomaukemana/orgs', 'repos_url': 'https://api.github.com/users/Itomaukemana/repos', 'events_url': 'https://api.github.com/users/Itomaukemana/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Itomaukemana/received_events', 'type': 'User', 'site_admin': False}",,Itomaukemana
1754631644,195,Ai for beginners 👌,open,1686654519.0,2023-06-13 22:11:29.811127,[],"{'login': 'adilhub', 'id': 47398351, 'node_id': 'MDQ6VXNlcjQ3Mzk4MzUx', 'avatar_url': 'https://avatars.githubusercontent.com/u/47398351?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/adilhub', 'html_url': 'https://github.com/adilhub', 'followers_url': 'https://api.github.com/users/adilhub/followers', 'following_url': 'https://api.github.com/users/adilhub/following{/other_user}', 'gists_url': 'https://api.github.com/users/adilhub/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/adilhub/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/adilhub/subscriptions', 'organizations_url': 'https://api.github.com/users/adilhub/orgs', 'repos_url': 'https://api.github.com/users/adilhub/repos', 'events_url': 'https://api.github.com/users/adilhub/events{/privacy}', 'received_events_url': 'https://api.github.com/users/adilhub/received_events', 'type': 'User', 'site_admin': False}",,
1754082333,194,Link in Lesson 2 not working properly,closed,1686635050.0,1686636637.0,[],"{'login': 'Curious-x', 'id': 98901875, 'node_id': 'U_kgDOBeUfcw', 'avatar_url': 'https://avatars.githubusercontent.com/u/98901875?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Curious-x', 'html_url': 'https://github.com/Curious-x', 'followers_url': 'https://api.github.com/users/Curious-x/followers', 'following_url': 'https://api.github.com/users/Curious-x/following{/other_user}', 'gists_url': 'https://api.github.com/users/Curious-x/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Curious-x/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Curious-x/subscriptions', 'organizations_url': 'https://api.github.com/users/Curious-x/orgs', 'repos_url': 'https://api.github.com/users/Curious-x/repos', 'events_url': 'https://api.github.com/users/Curious-x/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Curious-x/received_events', 'type': 'User', 'site_admin': False}",,Curious-x
1753907118,193,add,open,1686622649.0,2023-06-13 22:11:30.090246,[],"{'login': 'sevenpeach12', 'id': 136293572, 'node_id': 'U_kgDOCB-sxA', 'avatar_url': 'https://avatars.githubusercontent.com/u/136293572?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/sevenpeach12', 'html_url': 'https://github.com/sevenpeach12', 'followers_url': 'https://api.github.com/users/sevenpeach12/followers', 'following_url': 'https://api.github.com/users/sevenpeach12/following{/other_user}', 'gists_url': 'https://api.github.com/users/sevenpeach12/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/sevenpeach12/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/sevenpeach12/subscriptions', 'organizations_url': 'https://api.github.com/users/sevenpeach12/orgs', 'repos_url': 'https://api.github.com/users/sevenpeach12/repos', 'events_url': 'https://api.github.com/users/sevenpeach12/events{/privacy}', 'received_events_url': 'https://api.github.com/users/sevenpeach12/received_events', 'type': 'User', 'site_admin': False}",,
1753346893,187,Futurism,open,1686595425.0,2023-06-13 22:11:30.090246,[],"{'login': 'doypro', 'id': 129387549, 'node_id': 'U_kgDOB7ZMHQ', 'avatar_url': 'https://avatars.githubusercontent.com/u/129387549?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/doypro', 'html_url': 'https://github.com/doypro', 'followers_url': 'https://api.github.com/users/doypro/followers', 'following_url': 'https://api.github.com/users/doypro/following{/other_user}', 'gists_url': 'https://api.github.com/users/doypro/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/doypro/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/doypro/subscriptions', 'organizations_url': 'https://api.github.com/users/doypro/orgs', 'repos_url': 'https://api.github.com/users/doypro/repos', 'events_url': 'https://api.github.com/users/doypro/events{/privacy}', 'received_events_url': 'https://api.github.com/users/doypro/received_events', 'type': 'User', 'site_admin': False}",,
1752731939,185,Neural Network isn't how children learns,open,1686575211.0,2023-06-13 22:11:30.090246,[],"{'login': 'Chillance', 'id': 362637, 'node_id': 'MDQ6VXNlcjM2MjYzNw==', 'avatar_url': 'https://avatars.githubusercontent.com/u/362637?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Chillance', 'html_url': 'https://github.com/Chillance', 'followers_url': 'https://api.github.com/users/Chillance/followers', 'following_url': 'https://api.github.com/users/Chillance/following{/other_user}', 'gists_url': 'https://api.github.com/users/Chillance/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Chillance/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Chillance/subscriptions', 'organizations_url': 'https://api.github.com/users/Chillance/orgs', 'repos_url': 'https://api.github.com/users/Chillance/repos', 'events_url': 'https://api.github.com/users/Chillance/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Chillance/received_events', 'type': 'User', 'site_admin': False}",,
1752645625,184,a little bit outdated?,open,1686572330.0,2023-06-13 22:11:30.090246,[],"{'login': 'schuerstedt', 'id': 2076412, 'node_id': 'MDQ6VXNlcjIwNzY0MTI=', 'avatar_url': 'https://avatars.githubusercontent.com/u/2076412?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/schuerstedt', 'html_url': 'https://github.com/schuerstedt', 'followers_url': 'https://api.github.com/users/schuerstedt/followers', 'following_url': 'https://api.github.com/users/schuerstedt/following{/other_user}', 'gists_url': 'https://api.github.com/users/schuerstedt/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/schuerstedt/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/schuerstedt/subscriptions', 'organizations_url': 'https://api.github.com/users/schuerstedt/orgs', 'repos_url': 'https://api.github.com/users/schuerstedt/repos', 'events_url': 'https://api.github.com/users/schuerstedt/events{/privacy}', 'received_events_url': 'https://api.github.com/users/schuerstedt/received_events', 'type': 'User', 'site_admin': False}",,
1752574756,183,Microsoft AI,open,1686570572.0,2023-06-13 22:11:30.090246,[],"{'login': 'payam24793', 'id': 47268180, 'node_id': 'MDQ6VXNlcjQ3MjY4MTgw', 'avatar_url': 'https://avatars.githubusercontent.com/u/47268180?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/payam24793', 'html_url': 'https://github.com/payam24793', 'followers_url': 'https://api.github.com/users/payam24793/followers', 'following_url': 'https://api.github.com/users/payam24793/following{/other_user}', 'gists_url': 'https://api.github.com/users/payam24793/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/payam24793/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/payam24793/subscriptions', 'organizations_url': 'https://api.github.com/users/payam24793/orgs', 'repos_url': 'https://api.github.com/users/payam24793/repos', 'events_url': 'https://api.github.com/users/payam24793/events{/privacy}', 'received_events_url': 'https://api.github.com/users/payam24793/received_events', 'type': 'User', 'site_admin': False}",,
1751779139,182,Ty,open,1686537441.0,2023-06-13 22:11:30.090246,[],"{'login': 'jokermegood', 'id': 114978558, 'node_id': 'U_kgDOBtpu_g', 'avatar_url': 'https://avatars.githubusercontent.com/u/114978558?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jokermegood', 'html_url': 'https://github.com/jokermegood', 'followers_url': 'https://api.github.com/users/jokermegood/followers', 'following_url': 'https://api.github.com/users/jokermegood/following{/other_user}', 'gists_url': 'https://api.github.com/users/jokermegood/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jokermegood/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jokermegood/subscriptions', 'organizations_url': 'https://api.github.com/users/jokermegood/orgs', 'repos_url': 'https://api.github.com/users/jokermegood/repos', 'events_url': 'https://api.github.com/users/jokermegood/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jokermegood/received_events', 'type': 'User', 'site_admin': False}",,
1751432076,181,Microsoft AI,open,1686490655.0,2023-06-13 22:11:30.090246,[],"{'login': 'nirmal23122000', 'id': 70838322, 'node_id': 'MDQ6VXNlcjcwODM4MzIy', 'avatar_url': 'https://avatars.githubusercontent.com/u/70838322?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/nirmal23122000', 'html_url': 'https://github.com/nirmal23122000', 'followers_url': 'https://api.github.com/users/nirmal23122000/followers', 'following_url': 'https://api.github.com/users/nirmal23122000/following{/other_user}', 'gists_url': 'https://api.github.com/users/nirmal23122000/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/nirmal23122000/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/nirmal23122000/subscriptions', 'organizations_url': 'https://api.github.com/users/nirmal23122000/orgs', 'repos_url': 'https://api.github.com/users/nirmal23122000/repos', 'events_url': 'https://api.github.com/users/nirmal23122000/events{/privacy}', 'received_events_url': 'https://api.github.com/users/nirmal23122000/received_events', 'type': 'User', 'site_admin': False}",,
