sha,message,created,files_updated,diff,author
3c65fe853ab1ab019985644d0688651988124d2c,[guide] Add documentation for `no-use-before-define` rule under hoisting section,1684171269,['README.md'],"[('README.md', [1964, 1965, 1967, 1969, 1970, 1972, 1973, 1974, 1976, 1977, 1978, 1980, 1981, 1982, 1983, 1985, 1986, 1987, 1988, 1990, 1991, 1992, 1993, 1996, 1998, 1999, 2001, 2002, 2004, 2005, 2006, 2008, 2009, 2010, 2011, 2012], [])]",Jordan Harband
ebafed94a71e18d39335876ad9235b7b399fa62e,[guide] added second link to eslint rule for item 7.1,1684843823,['README.md'],"[('README.md', [660], [660])]",zhesha
352b47ea240aca14999848041f7c171e70ada6ef,[eslint config] [*] [deps] update `object.entries`,1684171269,"['packages/eslint-config-airbnb-base/package.json', 'packages/eslint-config-airbnb/package.json']",,Jordan Harband
428e308440d0aa47d8eb05b89c8bb79ee6e99b7b,[eslint-config] [*] [dev deps] update `@babel/runtime`,1684171215,"['packages/eslint-config-airbnb-base/package.json', 'packages/eslint-config-airbnb/package.json']",,Jordan Harband
d23e101362287e5752a6b4af4efe3fd33dff0fa7,"[Dev Deps] update `markdownlint`, `markdownlint-cli`",1684171145,['package.json'],,Jordan Harband
a273dcbdae2b2e4a81fefe52c80e61389f22aa1e,[readme] update eslint plugin repo URLs,1684170959,"['README.md', 'packages/eslint-config-airbnb-base/rules/es6.js', 'packages/eslint-config-airbnb-base/rules/imports.js', 'packages/eslint-config-airbnb/rules/react-a11y.js', 'react/README.md']",,Jordan Harband
78d423a328df02887d48dce60690617923a809fd,"[readme] Updates ESLint rule in section 12.3 (exponentiation-operator)

The change itself has already been made in f3d3a075cda2acc02011e71991c10bb5b4a15278
(tracked in/acording to https://github.com/airbnb/javascript/issues/2421#issuecomment-1371305010).


#2421
Remove Math.pow from `no-restricted-properties` and use `prefer-exponentiation-operator` instead.",1683049749,['README.md'],"[('README.md', [1624], [1624])]",Christian Koop
9e019a48ad27dcddc62e5764927556c9a83cd644,"spell checking, fixed grammar error.",1682667208,['README.md'],"[('README.md', [467], [467])]",Felipe Garcia Diaz
e50e70a87baff48be76f68d4b3b764149ba33e28,[readme] added JavaScript Roadmap link,1675797471,['README.md'],"[('README.md', [3784], []), ('packages/eslint-config-airbnb-base/package.json', [71, 77, 80, 84], [71, 77, 80, 84]), ('packages/eslint-config-airbnb-base/rules/imports.js', [273, 274, 275, 276, 278, 279, 280, 281], []), ('packages/eslint-config-airbnb/package.json', [73, 79, 80, 81, 86, 90, 91, 92], [73, 79, 80, 81, 86, 90, 91, 92]), ('packages/eslint-config-airbnb/rules/react-a11y.js', [251, 252, 253, 254, 256, 257, 258, 259, 261, 262, 263, 264], []), ('packages/eslint-config-airbnb/rules/react.js', [579, 580, 581, 582, 584, 585, 586, 587, 588, 589], [])]",syedmouaazfarrukh
8cc97b530580081bf7d8c7a9f325500729007504,"[eslint config] [deps] update `eslint-plugin-react`, `eslint-plugin-jsx-a11y`",1675925958,"['packages/eslint-config-airbnb/package.json', 'packages/eslint-config-airbnb/rules/react-a11y.js', 'packages/eslint-config-airbnb/rules/react.js']","[('README.md', [3784], []), ('packages/eslint-config-airbnb-base/package.json', [71, 77, 80, 84], [71, 77, 80, 84]), ('packages/eslint-config-airbnb-base/rules/imports.js', [273, 274, 275, 276, 278, 279, 280, 281], []), ('packages/eslint-config-airbnb/package.json', [73, 79, 80, 81, 86, 90, 91, 92], [73, 79, 80, 81, 86, 90, 91, 92]), ('packages/eslint-config-airbnb/rules/react-a11y.js', [251, 252, 253, 254, 256, 257, 258, 259, 261, 262, 263, 264], []), ('packages/eslint-config-airbnb/rules/react.js', [579, 580, 581, 582, 584, 585, 586, 587, 588, 589], [])]",Jordan Harband
e85597481f54871d22755457e97ba64a6627ada6,[*] [deps] update `eslint-plugin-import`,1675923593,"['packages/eslint-config-airbnb-base/package.json', 'packages/eslint-config-airbnb-base/rules/imports.js', 'packages/eslint-config-airbnb/package.json']","[('README.md', [3784], []), ('packages/eslint-config-airbnb-base/package.json', [71, 77, 80, 84], [71, 77, 80, 84]), ('packages/eslint-config-airbnb-base/rules/imports.js', [273, 274, 275, 276, 278, 279, 280, 281], []), ('packages/eslint-config-airbnb/package.json', [73, 79, 80, 81, 86, 90, 91, 92], [73, 79, 80, 81, 86, 90, 91, 92]), ('packages/eslint-config-airbnb/rules/react-a11y.js', [251, 252, 253, 254, 256, 257, 258, 259, 261, 262, 263, 264], []), ('packages/eslint-config-airbnb/rules/react.js', [579, 580, 581, 582, 584, 585, 586, 587, 588, 589], [])]",Jordan Harband
10e0effb02425323dab07eecb3e163d9113357ab,"[*] [dev deps] update `@babel/runtime`, `tape`",1675923102,"['packages/eslint-config-airbnb-base/package.json', 'packages/eslint-config-airbnb/package.json']","[('README.md', [3784], []), ('packages/eslint-config-airbnb-base/package.json', [71, 77, 80, 84], [71, 77, 80, 84]), ('packages/eslint-config-airbnb-base/rules/imports.js', [273, 274, 275, 276, 278, 279, 280, 281], []), ('packages/eslint-config-airbnb/package.json', [73, 79, 80, 81, 86, 90, 91, 92], [73, 79, 80, 81, 86, 90, 91, 92]), ('packages/eslint-config-airbnb/rules/react-a11y.js', [251, 252, 253, 254, 256, 257, 258, 259, 261, 262, 263, 264], []), ('packages/eslint-config-airbnb/rules/react.js', [579, 580, 581, 582, 584, 585, 586, 587, 588, 589], [])]",Jordan Harband
9299cd9f61423768a1f1c49911a1b4fbb9ba65e5,[eslint config] [*] [refactor] use object spread instead of `Object.assign`,1672440516,"['packages/eslint-config-airbnb-base/package.json', 'packages/eslint-config-airbnb-base/whitespace-async.js', 'packages/eslint-config-airbnb-base/whitespace.js', 'packages/eslint-config-airbnb/package.json', 'packages/eslint-config-airbnb/rules/react.js', 'packages/eslint-config-airbnb/whitespace-async.js', 'packages/eslint-config-airbnb/whitespace.js']",,Jordan Harband
e57a86d68c16d0f8aed1316311c2d7749c3b8909,[guide] add `Object.hasOwn`,1668705309,['README.md'],"[('README.md', [314, 315], [])]",Mustafa UZUN
5e52d1d098d49dc7ee672fd82525ddd0147fb832,[Tests] refactor test paths,1670103121,"['packages/eslint-config-airbnb-base/test/test-base.js', 'packages/eslint-config-airbnb/test/test-base.js']","[('packages/eslint-config-airbnb-base/test/test-base.js', [9, 10, 12], [9, 11]), ('packages/eslint-config-airbnb/test/test-base.js', [9, 10, 16], [9, 15])]",Mert Can Altın
02f1f84435f1e22d980b95930b580597d52664c8,"[readme] wayback machine, or remove, broken links",1667084429,['README.md'],"[('README.md', [781, 814, 817, 1833, 1836, 1840, 1854, 1855, 1861, 2895, 2896, 2899, 2900, 2910, 2916, 2939, 2940, 2943, 2955, 2958, 2961, 2962, 2967, 2968, 2971, 2972, 3216, 3639, 3763, 3764, 3765, 3766, 3767, 3768, 3832, 3914, 3922], [781, 814, 817, 1833, 1836, 1840, 1854, 1855, 1861, 2895, 2896, 2899, 2900, 2910, 2916, 2939, 2940, 2943, 2955, 2958, 2961, 2962, 2967, 2968, 2971, 2972, 3216, 3639, 3763, 3764, 3765, 3766, 3767, 3768, 3832, 3914, 3919, 3923])]",Mustafa UZUN
dcda7443cfb7af681478a66ea79435405164147c,"[readme] prefer `const`/`let` over `var` in examples

2.1 Use const for all of your references; avoid using var. eslint: prefer-const, no-const-assign",1667076583,['README.md'],"[('README.md', [781, 814, 817, 1833, 1836, 1840, 1854, 1855, 1861, 2895, 2896, 2899, 2900, 2910, 2916, 2939, 2940, 2943, 2955, 2958, 2961, 2962, 2967, 2968, 2971, 2972, 3216, 3639, 3763, 3764, 3765, 3766, 3767, 3768, 3832, 3914, 3922], [781, 814, 817, 1833, 1836, 1840, 1854, 1855, 1861, 2895, 2896, 2899, 2900, 2910, 2916, 2939, 2940, 2943, 2955, 2958, 2961, 2962, 2967, 2968, 2971, 2972, 3216, 3639, 3763, 3764, 3765, 3766, 3767, 3768, 3832, 3914, 3919, 3923])]",Mustafa UZUN
4ed2939a80ea3b8ca3d5f9b3b4ab1d5d239bdb06,[readme] add space before code blocks,1668381860,['README.md'],"[('README.md', [76, 96], []), ('packages/eslint-config-airbnb-base/rules/best-practices.js', [107, 108, 109, 110], []), ('packages/eslint-config-airbnb-base/rules/errors.js', [108, 109, 110, 111], [])]",Pushpendra Pal
d24ac6dfca69e2521c7d06b3a70b337fb3bc5c84,[eslint config] [patch] add new disabled core rules,1668722193,"['packages/eslint-config-airbnb-base/rules/best-practices.js', 'packages/eslint-config-airbnb-base/rules/errors.js']","[('README.md', [76, 96], []), ('packages/eslint-config-airbnb-base/rules/best-practices.js', [107, 108, 109, 110], []), ('packages/eslint-config-airbnb-base/rules/errors.js', [108, 109, 110, 111], [])]",Jordan Harband
1a66b8eb6b5bd81796f498dac5c4fcae2d808c98,[guide] fix typo in `space-before-blocks`,1667242679,['README.md'],"[('README.md', [2512], [2512])]",Maksim Ploski
a66027fe5d10760f81010e58685afa656c11fef1,"[guide] rename `qux` to `quux`

Fixes #2661",1666781057,['README.md'],"[('README.md', [2705, 2726], [2705, 2726])]",Mustafa UZUN
41ce144b378a00e8419bb96d6d2cb3629377ef17,[guide] add comma to the end of the property,1666790258,['README.md'],"[('README.md', [2512, 2612, 2622, 2630, 3484], [2512, 2612, 2622, 2630, 3484])]",Mustafa UZUN
d419875c96b6ab9e6d164523a4793a88b7a0d4c7,[guide] add Optional Chaining,1666731986,['README.md'],"[('README.md', [2855, 2856, 2857, 2858, 2859, 2860, 2861], [])]",Mustafa UZUN
14ef517f8823a7744cb0cc69e10bfb6277ec15d0,[guide] add Nullish Coalescing operator,1666729616,['README.md'],"[('README.md', [2099, 2105], [])]",Mustafa UZUN
80f98bfdb2bef29611bdbcec6af2696ffb6f3c7f,[editorial] convert example to use single instead of double quotes,1666703017,['README.md'],"[('README.md', [3134], [3134]), ('packages/eslint-config-airbnb-base/rules/style.js', [194, 195, 196, 197, 198, 199], [])]",Mustafa UZUN
197189307e67e95b07c1fcf15c99e5adaa8cb9c0,[eslint config] [base] add disabled `logical-assignment-operators` rule,1666716145,['packages/eslint-config-airbnb-base/rules/style.js'],"[('README.md', [3134], [3134]), ('packages/eslint-config-airbnb-base/rules/style.js', [194, 195, 196, 197, 198, 199], [])]",Jordan Harband
7bd61f35017580128ffd5d7e39c017714b631ac5,"[eslint config] [deps] update `eslint-plugin-jsx-a11y`, `eslint-plugin-react`, `eslint-plugin-react-hooks`",1663564908,['packages/eslint-config-airbnb/package.json'],"[('README.md', [3742], [3742]), ('package.json', [43, 44], [43, 44]), ('packages/eslint-config-airbnb-base/package.json', [71, 80, 91], [71, 80, 91]), ('packages/eslint-config-airbnb-base/rules/best-practices.js', [70], []), ('packages/eslint-config-airbnb/package.json', [70, 74, 81, 82, 83, 87, 92, 93, 94], [70, 74, 81, 82, 83, 87, 92, 93, 94])]",Jordan Harband
ab05dfa3b131ab68b9613c4b86803eee2f467b23,[eslint config] [*] [deps] update `object.assign`,1663564737,"['packages/eslint-config-airbnb-base/package.json', 'packages/eslint-config-airbnb/package.json']","[('README.md', [3742], [3742]), ('package.json', [43, 44], [43, 44]), ('packages/eslint-config-airbnb-base/package.json', [71, 80, 91], [71, 80, 91]), ('packages/eslint-config-airbnb-base/rules/best-practices.js', [70], []), ('packages/eslint-config-airbnb/package.json', [70, 74, 81, 82, 83, 87, 92, 93, 94], [70, 74, 81, 82, 83, 87, 92, 93, 94])]",Jordan Harband
d9bbc52de3144e780e2ae0dcc1713d5e918d71c5,"[eslint config] [*] update `@babel/runtime`, `tape`",1663564697,"['packages/eslint-config-airbnb-base/package.json', 'packages/eslint-config-airbnb/package.json']","[('README.md', [3742], [3742]), ('package.json', [43, 44], [43, 44]), ('packages/eslint-config-airbnb-base/package.json', [71, 80, 91], [71, 80, 91]), ('packages/eslint-config-airbnb-base/rules/best-practices.js', [70], []), ('packages/eslint-config-airbnb/package.json', [70, 74, 81, 82, 83, 87, 92, 93, 94], [70, 74, 81, 82, 83, 87, 92, 93, 94])]",Jordan Harband
b8634d2aa1f143989e96af70cb7ff7b0e8f5ffed,"[Dev Deps] update `markdownlint`, `markdownlint-cli`",1663564568,"['README.md', 'package.json']","[('README.md', [3742], [3742]), ('package.json', [43, 44], [43, 44]), ('packages/eslint-config-airbnb-base/package.json', [71, 80, 91], [71, 80, 91]), ('packages/eslint-config-airbnb-base/rules/best-practices.js', [70], []), ('packages/eslint-config-airbnb/package.json', [70, 74, 81, 82, 83, 87, 92, 93, 94], [70, 74, 81, 82, 83, 87, 92, 93, 94])]",Jordan Harband
