,issue_number,title,state,created,closed,labels,user,assignees,closed_by
1724171701,2780,[spam],closed,1684939507,1684939594,"[{'id': 18135605, 'node_id': 'MDU6TGFiZWwxODEzNTYwNQ==', 'url': 'https://api.github.com/repos/airbnb/javascript/labels/invalid', 'name': 'invalid', 'color': 'e6e6e6', 'default': True, 'description': null}]","{'login': 'M1Gfava', 'id': 134524245, 'node_id': 'U_kgDOCAStVQ', 'avatar_url': 'https://avatars.githubusercontent.com/u/134524245?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/M1Gfava', 'html_url': 'https://github.com/M1Gfava', 'followers_url': 'https://api.github.com/users/M1Gfava/followers', 'following_url': 'https://api.github.com/users/M1Gfava/following{/other_user}', 'gists_url': 'https://api.github.com/users/M1Gfava/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/M1Gfava/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/M1Gfava/subscriptions', 'organizations_url': 'https://api.github.com/users/M1Gfava/orgs', 'repos_url': 'https://api.github.com/users/M1Gfava/repos', 'events_url': 'https://api.github.com/users/M1Gfava/events{/privacy}', 'received_events_url': 'https://api.github.com/users/M1Gfava/received_events', 'type': 'User', 'site_admin': False}",,ljharb
1718035933,2772,[spam],closed,1684554395,1684554434,"[{'id': 18135605, 'node_id': 'MDU6TGFiZWwxODEzNTYwNQ==', 'url': 'https://api.github.com/repos/airbnb/javascript/labels/invalid', 'name': 'invalid', 'color': 'e6e6e6', 'default': True, 'description': null}]","{'login': 'lehoangloc', 'id': 134120264, 'node_id': 'U_kgDOB_6DSA', 'avatar_url': 'https://avatars.githubusercontent.com/u/134120264?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/lehoangloc', 'html_url': 'https://github.com/lehoangloc', 'followers_url': 'https://api.github.com/users/lehoangloc/followers', 'following_url': 'https://api.github.com/users/lehoangloc/following{/other_user}', 'gists_url': 'https://api.github.com/users/lehoangloc/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/lehoangloc/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/lehoangloc/subscriptions', 'organizations_url': 'https://api.github.com/users/lehoangloc/orgs', 'repos_url': 'https://api.github.com/users/lehoangloc/repos', 'events_url': 'https://api.github.com/users/lehoangloc/events{/privacy}', 'received_events_url': 'https://api.github.com/users/lehoangloc/received_events', 'type': 'User', 'site_admin': False}",,ljharb
1699264549,2770,[spam],closed,1683498719,1683520170,"[{'id': 18135605, 'node_id': 'MDU6TGFiZWwxODEzNTYwNQ==', 'url': 'https://api.github.com/repos/airbnb/javascript/labels/invalid', 'name': 'invalid', 'color': 'e6e6e6', 'default': True, 'description': null}]","{'login': 'YemiPeter', 'id': 132855019, 'node_id': 'U_kgDOB-s06w', 'avatar_url': 'https://avatars.githubusercontent.com/u/132855019?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/YemiPeter', 'html_url': 'https://github.com/YemiPeter', 'followers_url': 'https://api.github.com/users/YemiPeter/followers', 'following_url': 'https://api.github.com/users/YemiPeter/following{/other_user}', 'gists_url': 'https://api.github.com/users/YemiPeter/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/YemiPeter/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/YemiPeter/subscriptions', 'organizations_url': 'https://api.github.com/users/YemiPeter/orgs', 'repos_url': 'https://api.github.com/users/YemiPeter/repos', 'events_url': 'https://api.github.com/users/YemiPeter/events{/privacy}', 'received_events_url': 'https://api.github.com/users/YemiPeter/received_events', 'type': 'User', 'site_admin': False}",,ljharb
1687626808,2766,"Configuration for rule ""dot-notation"" is invalid",closed,1682634053,1683056086,[],"{'login': 'rexkenley', 'id': 10548251, 'node_id': 'MDQ6VXNlcjEwNTQ4MjUx', 'avatar_url': 'https://avatars.githubusercontent.com/u/10548251?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/rexkenley', 'html_url': 'https://github.com/rexkenley', 'followers_url': 'https://api.github.com/users/rexkenley/followers', 'following_url': 'https://api.github.com/users/rexkenley/following{/other_user}', 'gists_url': 'https://api.github.com/users/rexkenley/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rexkenley/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rexkenley/subscriptions', 'organizations_url': 'https://api.github.com/users/rexkenley/orgs', 'repos_url': 'https://api.github.com/users/rexkenley/repos', 'events_url': 'https://api.github.com/users/rexkenley/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rexkenley/received_events', 'type': 'User', 'site_admin': False}",,ljharb
1680177235,2765,[spam],closed,1682283945,1682284400,"[{'id': 18135605, 'node_id': 'MDU6TGFiZWwxODEzNTYwNQ==', 'url': 'https://api.github.com/repos/airbnb/javascript/labels/invalid', 'name': 'invalid', 'color': 'e6e6e6', 'default': True, 'description': null}]","{'login': 'Moniwell', 'id': 127253121, 'node_id': 'U_kgDOB5W6gQ', 'avatar_url': 'https://avatars.githubusercontent.com/u/127253121?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Moniwell', 'html_url': 'https://github.com/Moniwell', 'followers_url': 'https://api.github.com/users/Moniwell/followers', 'following_url': 'https://api.github.com/users/Moniwell/following{/other_user}', 'gists_url': 'https://api.github.com/users/Moniwell/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Moniwell/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Moniwell/subscriptions', 'organizations_url': 'https://api.github.com/users/Moniwell/orgs', 'repos_url': 'https://api.github.com/users/Moniwell/repos', 'events_url': 'https://api.github.com/users/Moniwell/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Moniwell/received_events', 'type': 'User', 'site_admin': False}",,ljharb
1674072806,2763,Obj.fn is undefined,closed,1681871113,1681874312,"[{'id': 18135605, 'node_id': 'MDU6TGFiZWwxODEzNTYwNQ==', 'url': 'https://api.github.com/repos/airbnb/javascript/labels/invalid', 'name': 'invalid', 'color': 'e6e6e6', 'default': True, 'description': null}]","{'login': 'KevinShowli', 'id': 43026300, 'node_id': 'MDQ6VXNlcjQzMDI2MzAw', 'avatar_url': 'https://avatars.githubusercontent.com/u/43026300?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/KevinShowli', 'html_url': 'https://github.com/KevinShowli', 'followers_url': 'https://api.github.com/users/KevinShowli/followers', 'following_url': 'https://api.github.com/users/KevinShowli/following{/other_user}', 'gists_url': 'https://api.github.com/users/KevinShowli/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/KevinShowli/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/KevinShowli/subscriptions', 'organizations_url': 'https://api.github.com/users/KevinShowli/orgs', 'repos_url': 'https://api.github.com/users/KevinShowli/repos', 'events_url': 'https://api.github.com/users/KevinShowli/events{/privacy}', 'received_events_url': 'https://api.github.com/users/KevinShowli/received_events', 'type': 'User', 'site_admin': False}",,ljharb
1669312949,2762,[spam],closed,1681556945,1681568810,"[{'id': 18135605, 'node_id': 'MDU6TGFiZWwxODEzNTYwNQ==', 'url': 'https://api.github.com/repos/airbnb/javascript/labels/invalid', 'name': 'invalid', 'color': 'e6e6e6', 'default': True, 'description': null}]","{'login': 'mumining', 'id': 112982738, 'node_id': 'U_kgDOBrv60g', 'avatar_url': 'https://avatars.githubusercontent.com/u/112982738?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/mumining', 'html_url': 'https://github.com/mumining', 'followers_url': 'https://api.github.com/users/mumining/followers', 'following_url': 'https://api.github.com/users/mumining/following{/other_user}', 'gists_url': 'https://api.github.com/users/mumining/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/mumining/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/mumining/subscriptions', 'organizations_url': 'https://api.github.com/users/mumining/orgs', 'repos_url': 'https://api.github.com/users/mumining/repos', 'events_url': 'https://api.github.com/users/mumining/events{/privacy}', 'received_events_url': 'https://api.github.com/users/mumining/received_events', 'type': 'User', 'site_admin': False}",,ljharb
1659906648,2761,[spam],closed,1681052891,1681078889,"[{'id': 18135605, 'node_id': 'MDU6TGFiZWwxODEzNTYwNQ==', 'url': 'https://api.github.com/repos/airbnb/javascript/labels/invalid', 'name': 'invalid', 'color': 'e6e6e6', 'default': True, 'description': null}]","{'login': 'Hittect', 'id': 100156752, 'node_id': 'U_kgDOBfhFUA', 'avatar_url': 'https://avatars.githubusercontent.com/u/100156752?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Hittect', 'html_url': 'https://github.com/Hittect', 'followers_url': 'https://api.github.com/users/Hittect/followers', 'following_url': 'https://api.github.com/users/Hittect/following{/other_user}', 'gists_url': 'https://api.github.com/users/Hittect/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Hittect/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Hittect/subscriptions', 'organizations_url': 'https://api.github.com/users/Hittect/orgs', 'repos_url': 'https://api.github.com/users/Hittect/repos', 'events_url': 'https://api.github.com/users/Hittect/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Hittect/received_events', 'type': 'User', 'site_admin': False}",,ljharb
1651067109,2758,[spam],closed,1680463978,1680467468,"[{'id': 18135605, 'node_id': 'MDU6TGFiZWwxODEzNTYwNQ==', 'url': 'https://api.github.com/repos/airbnb/javascript/labels/invalid', 'name': 'invalid', 'color': 'e6e6e6', 'default': True, 'description': null}]","{'login': 'jasons123fortheuse', 'id': 123844780, 'node_id': 'U_kgDOB2G4rA', 'avatar_url': 'https://avatars.githubusercontent.com/u/123844780?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jasons123fortheuse', 'html_url': 'https://github.com/jasons123fortheuse', 'followers_url': 'https://api.github.com/users/jasons123fortheuse/followers', 'following_url': 'https://api.github.com/users/jasons123fortheuse/following{/other_user}', 'gists_url': 'https://api.github.com/users/jasons123fortheuse/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jasons123fortheuse/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jasons123fortheuse/subscriptions', 'organizations_url': 'https://api.github.com/users/jasons123fortheuse/orgs', 'repos_url': 'https://api.github.com/users/jasons123fortheuse/repos', 'events_url': 'https://api.github.com/users/jasons123fortheuse/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jasons123fortheuse/received_events', 'type': 'User', 'site_admin': False}",,ljharb
1650728373,2755,[spam],closed,1680391667,1680396222,"[{'id': 18135605, 'node_id': 'MDU6TGFiZWwxODEzNTYwNQ==', 'url': 'https://api.github.com/repos/airbnb/javascript/labels/invalid', 'name': 'invalid', 'color': 'e6e6e6', 'default': True, 'description': null}]","{'login': 'ibrahimsifat', 'id': 73490396, 'node_id': 'MDQ6VXNlcjczNDkwMzk2', 'avatar_url': 'https://avatars.githubusercontent.com/u/73490396?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ibrahimsifat', 'html_url': 'https://github.com/ibrahimsifat', 'followers_url': 'https://api.github.com/users/ibrahimsifat/followers', 'following_url': 'https://api.github.com/users/ibrahimsifat/following{/other_user}', 'gists_url': 'https://api.github.com/users/ibrahimsifat/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ibrahimsifat/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ibrahimsifat/subscriptions', 'organizations_url': 'https://api.github.com/users/ibrahimsifat/orgs', 'repos_url': 'https://api.github.com/users/ibrahimsifat/repos', 'events_url': 'https://api.github.com/users/ibrahimsifat/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ibrahimsifat/received_events', 'type': 'User', 'site_admin': False}",,ljharb
