issue_id,issue_number,title,state,created,closed,labels,user,assignees,closed_by
1749083624,2471,cursor_inactive_timeout and OS cursor in gaming,open,1686283365,,"[{'id': 3935964484, 'node_id': 'LA_kwDOHA7HmM7qmg1E', 'url': 'https://api.github.com/repos/hyprwm/Hyprland/labels/bug', 'name': 'bug', 'color': 'd73a4a', 'default': True, 'description': ""Something isn't working""}]","{'login': 'ArtemSmaznov', 'id': 31800376, 'node_id': 'MDQ6VXNlcjMxODAwMzc2', 'avatar_url': 'https://avatars.githubusercontent.com/u/31800376?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ArtemSmaznov', 'html_url': 'https://github.com/ArtemSmaznov', 'followers_url': 'https://api.github.com/users/ArtemSmaznov/followers', 'following_url': 'https://api.github.com/users/ArtemSmaznov/following{/other_user}', 'gists_url': 'https://api.github.com/users/ArtemSmaznov/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ArtemSmaznov/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ArtemSmaznov/subscriptions', 'organizations_url': 'https://api.github.com/users/ArtemSmaznov/orgs', 'repos_url': 'https://api.github.com/users/ArtemSmaznov/repos', 'events_url': 'https://api.github.com/users/ArtemSmaznov/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ArtemSmaznov/received_events', 'type': 'User', 'site_admin': False}",,
1748253846,2469,2 monitors,open,1686240768,,"[{'id': 3935964484, 'node_id': 'LA_kwDOHA7HmM7qmg1E', 'url': 'https://api.github.com/repos/hyprwm/Hyprland/labels/bug', 'name': 'bug', 'color': 'd73a4a', 'default': True, 'description': ""Something isn't working""}]","{'login': 'mairm1340', 'id': 85236760, 'node_id': 'MDQ6VXNlcjg1MjM2NzYw', 'avatar_url': 'https://avatars.githubusercontent.com/u/85236760?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/mairm1340', 'html_url': 'https://github.com/mairm1340', 'followers_url': 'https://api.github.com/users/mairm1340/followers', 'following_url': 'https://api.github.com/users/mairm1340/following{/other_user}', 'gists_url': 'https://api.github.com/users/mairm1340/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/mairm1340/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/mairm1340/subscriptions', 'organizations_url': 'https://api.github.com/users/mairm1340/orgs', 'repos_url': 'https://api.github.com/users/mairm1340/repos', 'events_url': 'https://api.github.com/users/mairm1340/events{/privacy}', 'received_events_url': 'https://api.github.com/users/mairm1340/received_events', 'type': 'User', 'site_admin': False}",,
1748007594,2468,Group windows unexpected behaviour when shifting it to a new workspace,open,1686234293,,"[{'id': 3935964484, 'node_id': 'LA_kwDOHA7HmM7qmg1E', 'url': 'https://api.github.com/repos/hyprwm/Hyprland/labels/bug', 'name': 'bug', 'color': 'd73a4a', 'default': True, 'description': ""Something isn't working""}]","{'login': 'tvlpirb', 'id': 22998573, 'node_id': 'MDQ6VXNlcjIyOTk4NTcz', 'avatar_url': 'https://avatars.githubusercontent.com/u/22998573?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tvlpirb', 'html_url': 'https://github.com/tvlpirb', 'followers_url': 'https://api.github.com/users/tvlpirb/followers', 'following_url': 'https://api.github.com/users/tvlpirb/following{/other_user}', 'gists_url': 'https://api.github.com/users/tvlpirb/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tvlpirb/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tvlpirb/subscriptions', 'organizations_url': 'https://api.github.com/users/tvlpirb/orgs', 'repos_url': 'https://api.github.com/users/tvlpirb/repos', 'events_url': 'https://api.github.com/users/tvlpirb/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tvlpirb/received_events', 'type': 'User', 'site_admin': False}",,
1747329473,2466,noborder creates transparent borders,closed,1686211509,1686220702,"[{'id': 3935964484, 'node_id': 'LA_kwDOHA7HmM7qmg1E', 'url': 'https://api.github.com/repos/hyprwm/Hyprland/labels/bug', 'name': 'bug', 'color': 'd73a4a', 'default': True, 'description': ""Something isn't working""}]","{'login': 'lilydjwg', 'id': 440661, 'node_id': 'MDQ6VXNlcjQ0MDY2MQ==', 'avatar_url': 'https://avatars.githubusercontent.com/u/440661?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/lilydjwg', 'html_url': 'https://github.com/lilydjwg', 'followers_url': 'https://api.github.com/users/lilydjwg/followers', 'following_url': 'https://api.github.com/users/lilydjwg/following{/other_user}', 'gists_url': 'https://api.github.com/users/lilydjwg/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/lilydjwg/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/lilydjwg/subscriptions', 'organizations_url': 'https://api.github.com/users/lilydjwg/orgs', 'repos_url': 'https://api.github.com/users/lilydjwg/repos', 'events_url': 'https://api.github.com/users/lilydjwg/events{/privacy}', 'received_events_url': 'https://api.github.com/users/lilydjwg/received_events', 'type': 'User', 'site_admin': False}",,vaxerski
1746683982,2465,workspace animation not playing with fullscreen windows,open,1686171880,,"[{'id': 3935964484, 'node_id': 'LA_kwDOHA7HmM7qmg1E', 'url': 'https://api.github.com/repos/hyprwm/Hyprland/labels/bug', 'name': 'bug', 'color': 'd73a4a', 'default': True, 'description': ""Something isn't working""}]","{'login': 'EysseW', 'id': 80292589, 'node_id': 'MDQ6VXNlcjgwMjkyNTg5', 'avatar_url': 'https://avatars.githubusercontent.com/u/80292589?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/EysseW', 'html_url': 'https://github.com/EysseW', 'followers_url': 'https://api.github.com/users/EysseW/followers', 'following_url': 'https://api.github.com/users/EysseW/following{/other_user}', 'gists_url': 'https://api.github.com/users/EysseW/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/EysseW/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/EysseW/subscriptions', 'organizations_url': 'https://api.github.com/users/EysseW/orgs', 'repos_url': 'https://api.github.com/users/EysseW/repos', 'events_url': 'https://api.github.com/users/EysseW/events{/privacy}', 'received_events_url': 'https://api.github.com/users/EysseW/received_events', 'type': 'User', 'site_admin': False}",,
1746399793,2464,Add support for matching monitors by serial number,open,1686160215,,"[{'id': 3935964497, 'node_id': 'LA_kwDOHA7HmM7qmg1R', 'url': 'https://api.github.com/repos/hyprwm/Hyprland/labels/enhancement', 'name': 'enhancement', 'color': 'a2eeef', 'default': True, 'description': 'New feature or request'}]","{'login': 'FlavorlessQuark', 'id': 31075794, 'node_id': 'MDQ6VXNlcjMxMDc1Nzk0', 'avatar_url': 'https://avatars.githubusercontent.com/u/31075794?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/FlavorlessQuark', 'html_url': 'https://github.com/FlavorlessQuark', 'followers_url': 'https://api.github.com/users/FlavorlessQuark/followers', 'following_url': 'https://api.github.com/users/FlavorlessQuark/following{/other_user}', 'gists_url': 'https://api.github.com/users/FlavorlessQuark/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/FlavorlessQuark/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/FlavorlessQuark/subscriptions', 'organizations_url': 'https://api.github.com/users/FlavorlessQuark/orgs', 'repos_url': 'https://api.github.com/users/FlavorlessQuark/repos', 'events_url': 'https://api.github.com/users/FlavorlessQuark/events{/privacy}', 'received_events_url': 'https://api.github.com/users/FlavorlessQuark/received_events', 'type': 'User', 'site_admin': False}",,
1746171331,2462," ""sudo make install"" is not working",closed,1686151664,1686220765,"[{'id': 3935964484, 'node_id': 'LA_kwDOHA7HmM7qmg1E', 'url': 'https://api.github.com/repos/hyprwm/Hyprland/labels/bug', 'name': 'bug', 'color': 'd73a4a', 'default': True, 'description': ""Something isn't working""}]","{'login': 'BrkGGM', 'id': 67695409, 'node_id': 'MDQ6VXNlcjY3Njk1NDA5', 'avatar_url': 'https://avatars.githubusercontent.com/u/67695409?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/BrkGGM', 'html_url': 'https://github.com/BrkGGM', 'followers_url': 'https://api.github.com/users/BrkGGM/followers', 'following_url': 'https://api.github.com/users/BrkGGM/following{/other_user}', 'gists_url': 'https://api.github.com/users/BrkGGM/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/BrkGGM/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/BrkGGM/subscriptions', 'organizations_url': 'https://api.github.com/users/BrkGGM/orgs', 'repos_url': 'https://api.github.com/users/BrkGGM/repos', 'events_url': 'https://api.github.com/users/BrkGGM/events{/privacy}', 'received_events_url': 'https://api.github.com/users/BrkGGM/received_events', 'type': 'User', 'site_admin': False}",,vaxerski
1745857004,2461,spotifywm no longer needed?,open,1686143073,,"[{'id': 3935964497, 'node_id': 'LA_kwDOHA7HmM7qmg1R', 'url': 'https://api.github.com/repos/hyprwm/Hyprland/labels/enhancement', 'name': 'enhancement', 'color': 'a2eeef', 'default': True, 'description': 'New feature or request'}]","{'login': 'naps62', 'id': 283819, 'node_id': 'MDQ6VXNlcjI4MzgxOQ==', 'avatar_url': 'https://avatars.githubusercontent.com/u/283819?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/naps62', 'html_url': 'https://github.com/naps62', 'followers_url': 'https://api.github.com/users/naps62/followers', 'following_url': 'https://api.github.com/users/naps62/following{/other_user}', 'gists_url': 'https://api.github.com/users/naps62/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/naps62/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/naps62/subscriptions', 'organizations_url': 'https://api.github.com/users/naps62/orgs', 'repos_url': 'https://api.github.com/users/naps62/repos', 'events_url': 'https://api.github.com/users/naps62/events{/privacy}', 'received_events_url': 'https://api.github.com/users/naps62/received_events', 'type': 'User', 'site_admin': False}",,
1745592500,2460,"If started with GDM, pressing ctrl-alt-f<vt number of Hyprland> will freeze Hyprland.",open,1686134194,,"[{'id': 3935964484, 'node_id': 'LA_kwDOHA7HmM7qmg1E', 'url': 'https://api.github.com/repos/hyprwm/Hyprland/labels/bug', 'name': 'bug', 'color': 'd73a4a', 'default': True, 'description': ""Something isn't working""}]","{'login': 'memchr', 'id': 118117622, 'node_id': 'U_kgDOBwpU9g', 'avatar_url': 'https://avatars.githubusercontent.com/u/118117622?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/memchr', 'html_url': 'https://github.com/memchr', 'followers_url': 'https://api.github.com/users/memchr/followers', 'following_url': 'https://api.github.com/users/memchr/following{/other_user}', 'gists_url': 'https://api.github.com/users/memchr/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/memchr/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/memchr/subscriptions', 'organizations_url': 'https://api.github.com/users/memchr/orgs', 'repos_url': 'https://api.github.com/users/memchr/repos', 'events_url': 'https://api.github.com/users/memchr/events{/privacy}', 'received_events_url': 'https://api.github.com/users/memchr/received_events', 'type': 'User', 'site_admin': False}",,
1745412659,2459,Regression: workspaces don't always respect monitor bind after powering up again,open,1686128717,,"[{'id': 3935964484, 'node_id': 'LA_kwDOHA7HmM7qmg1E', 'url': 'https://api.github.com/repos/hyprwm/Hyprland/labels/bug', 'name': 'bug', 'color': 'd73a4a', 'default': True, 'description': ""Something isn't working""}]","{'login': 'proycon', 'id': 75427, 'node_id': 'MDQ6VXNlcjc1NDI3', 'avatar_url': 'https://avatars.githubusercontent.com/u/75427?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/proycon', 'html_url': 'https://github.com/proycon', 'followers_url': 'https://api.github.com/users/proycon/followers', 'following_url': 'https://api.github.com/users/proycon/following{/other_user}', 'gists_url': 'https://api.github.com/users/proycon/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/proycon/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/proycon/subscriptions', 'organizations_url': 'https://api.github.com/users/proycon/orgs', 'repos_url': 'https://api.github.com/users/proycon/repos', 'events_url': 'https://api.github.com/users/proycon/events{/privacy}', 'received_events_url': 'https://api.github.com/users/proycon/received_events', 'type': 'User', 'site_admin': False}",,
