sha,message,created,files_updated,diff,author
7ac031c56a17d61d14caa813beeb64c5aeb5630b,"test documentation links (#3673)

* test documentation links

* fix hard errors (non-existing files)

* more links (force is now defined in d3-force/simulation.md)

* this version is a bit more complicated but it doesn't crawl, and it works with the plot project too

* move eslint env

* async test

---------

Co-authored-by: Mike Bostock <mbostock@gmail.com>",1686675448.0,"['docs/api.md', 'docs/d3-force/link.md', 'docs/d3-force/simulation.md', 'test/.eslintrc.json', 'test/docs-test.js']","[('docs/api.md', [436, 437, 943, 944, 945, 946, 947, 948, 949, 950, 951, 952, 956, 957, 961, 962, 963, 964, 965, 966, 967, 968, 969, 970, 971, 972, 973, 974, 975, 976, 977, 978, 982, 983, 984, 985, 986, 987, 988, 989, 990, 991, 992, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015, 1016, 1017, 1018, 1019, 1020, 1021, 1022, 1023, 1024, 1025, 1026], [436, 437, 943, 944, 945, 946, 947, 948, 949, 950, 951, 952, 956, 957, 961, 962, 963, 964, 965, 966, 967, 968, 969, 970, 971, 972, 973, 974, 975, 976, 977, 978, 982, 983, 984, 985, 986, 987, 988, 989, 990, 991, 992, 993, 994, 995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015, 1016, 1017, 1018, 1019, 1020, 1021, 1022, 1023, 1024, 1025, 1026]), ('docs/d3-force/link.md', [23], [23]), ('docs/d3-force/simulation.md', [33], [33]), ('test/.eslintrc.json', [8, 9], []), ('test/docs-test.js', [1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74], [])]",Philippe Rivière
5fe17ac6d57ca327acc605b31b742d2fdb2b1bb7,"avoid rotation jumpiness (#3677)

* avoid rotation jumpiness

* tweak logic

---------

Co-authored-by: Mike Bostock <mbostock@gmail.com>",1686673982.0,['docs/components/WorldMap.vue'],"[('docs/components/WorldMap.vue', [17, 21, 22, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 40], [17, 21, 27, 28, 29, 30, 33])]",Philippe Rivière
e475570ee64bc4ab969f92715c840048a214f447,"State a general principle for which d3 modules compete with React (#3676)

Not sure about the exact phrasing but I think something like this would be nice. It'd be overwhelming to list every module that touches the DOM, but it may be frustratingly vague to just say ""most don't, some do"". Is there a general principle by which the uninitiated reader might spot which do and don't? As a beginner programmer learning D3 I know I didn't have a good mental model of where the DOM fit in, but I think I'd at least be able to spot ""does this take a selection"".",1686598549.0,['docs/getting-started.md'],"[('docs/getting-started.md', [292], [292])]",Toph Tucker
c0f92a310ca901b6c74418a40bfdece064acf6ee,fix for ultrawide screens,1686586456.0,['docs/.vitepress/theme/ExamplesGrid.vue'],,Mike Bostock
04332be7a45a10cb6fd2e8d0d63610821911106e,fix textStroke (#3672),1686577010.0,"['docs/d3-hierarchy/cluster.md', 'docs/d3-hierarchy/tree.md']","[('docs/d3-hierarchy/cluster.md', [25], [25]), ('docs/d3-hierarchy/tree.md', [25], [25])]",Philippe Rivière
51352f98cd13a2304c798f9e9b6762eea4c723a8,sequenced quadtree animation,1686530989.0,['docs/components/ExampleAnimatedQuadtree.vue'],,Mike Bostock
7acbcf151477f761f32a4a4a63e763b81d7ff107,better quadtree animation,1686530373.0,"['docs/components/ExampleAnimatedQuadtree.vue', 'docs/components/quadtreeVisitParent.js', 'docs/components/quadtreeVisitQuad.js']",,Mike Bostock
8034d7b4ce677ec6ea93de2981f7122229f14ae3,icon,1686528246.0,['docs/.vitepress/config.ts'],,Mike Bostock
1532abaa2445ab996be1cd0143581fc074b90ac9,a clip-path,1686517999.0,['docs/.vitepress/theme/ExamplesGrid.vue'],,Mike Bostock
53ad1eea7145a5a9e264ce0a7fbdf4ca2ebb031f,upgrade vitepress to beta.2 (#3671),1686514611.0,"['package.json', 'yarn.lock']","[('package.json', [79], [79]), ('yarn.lock', [5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 141, 142, 143, 144, 146, 147, 148, 149, 151, 154, 155, 156, 157, 159, 160, 161, 1313, 1998, 2009, 2010, 2011, 2012, 2014, 2015, 2021, 2025], [5, 6, 7, 8, 10, 12, 13, 14, 15, 17, 19, 20, 21, 22, 133, 134, 135, 136, 138, 139, 140, 141, 143, 146, 147, 148, 149, 151, 152, 153, 1305, 1990, 2001, 2002, 2003, 2004, 2006, 2007, 2013, 2017])]",Philippe Rivière
1ecba5b95850e5d4746d4e45d20d7dc16f772c18,live graticule,1686464147.0,"['docs/components/WorldMap.vue', 'docs/d3-geo/shape.md']",,Mike Bostock
6e32925446533dcdef7647832b6053622bcb2e7c,animated quadtree,1686461347.0,"['docs/components/ExampleAnimatedQuadtree.vue', 'docs/components/ExampleCollideForce.vue', 'docs/components/ExampleDisjointForce.vue', 'docs/components/quadtreeVisitQuad.js', 'docs/d3-quadtree.md']",,Mike Bostock
269b0e927ec67f9d7f2ff0bdc97f9408ecba4e10,new tag line,1686452808.0,['docs/index.md'],,Mike Bostock
70938b3d4c426ec0c7869cebb83a4f574b449afb,responsive grid size,1686451539.0,['docs/.vitepress/theme/ExamplesGrid.vue'],,Mike Bostock
72766d98ab5b2e6e7b586125ca8ec83a97642b33,tweak animation timing,1686434101.0,['docs/.vitepress/theme/ExamplesGrid.vue'],,Mike Bostock
649ed824134953783607702e540c6313a677dcc9,hex grid,1686424863.0,['docs/.vitepress/theme/ExamplesGrid.vue'],,Mike Bostock
7c4ba3abc2e54265def159fe55ca55d327fd4a24,ssr volcano,1686372224.0,"['docs/d3-contour.md', 'docs/data/volcano.data.js']",,Mike Bostock
4f310fe3f7732289f5433369a12f3c29af2f7d61,fix link,1686371788.0,['docs/d3-contour.md'],,Mike Bostock
27a7c4395e591f93397c55e386575fa59e7d4079,example improvements,1686369521.0,"['docs/components/ExampleArcs.vue', 'docs/components/ExampleCollideForce.vue', 'docs/components/ExampleDisjointForce.vue']",,Mike Bostock
c900c4b1de2108dd7e45075ef21b6595ab524b1c,disjoint force example,1686366095.0,"['docs/components/ExampleCollideForce.vue', 'docs/components/ExampleDisjointForce.vue', 'docs/d3-force.md', 'docs/d3-force/collide.md', 'docs/d3-force/simulation.md']",,Mike Bostock
0f0c286baa8107a37be948783770dc193ce10c83,reorder content,1686364911.0,"['docs/.vitepress/config.ts', 'docs/api.md']",,Mike Bostock
537e4430379327cff9ebde2de1a71e369d958854,fix viewBox serialization?,1686350281.0,"['docs/components/UsMap.vue', 'docs/components/WorldMap.vue']",,Mike Bostock
fa1f070d0c3c38e073c4513d836cfcdb72d61b0f,gratuitous rotate effect,1686338365.0,"['docs/components/WorldMap.vue', 'docs/d3-geo/azimuthal.md']",,Mike Bostock
c010c35c875e656e72a1e0784894c9281647f292,fix disconnect scope,1686337784.0,"['docs/components/UsMap.vue', 'docs/components/WorldMap.vue']",,Mike Bostock
97691e2a37e5fec982a808a237288185c9033bd9,better maps,1686333364.0,"['docs/components/UsMap.vue', 'docs/components/WorldMap.vue', 'docs/d3-geo/azimuthal.md', 'docs/d3-geo/conic.md']",,Mike Bostock
c347003c9c025a19935ea65e72a425763182522c,more live maps,1686332271.0,"['docs/components/UsMap.vue', 'docs/components/WorldMap.vue', 'docs/d3-geo/conic.md', 'docs/d3-geo/cylindrical.md']",,Mike Bostock
e644dfadc04376bf36b1ad9620f96db44b7fd5bc,Merge branch 'main' of github.com:d3/d3,1686329728.0,"['docs/d3-geo/projection.md', 'docs/d3-scale/time.md']",,Mike Bostock
78c6608db44b13b23d59d1324fb16b071e524ce7,live azimuthal maps,1686329725.0,"['docs/components/WorldMap.vue', 'docs/components/deferRender.js', 'docs/d3-geo/azimuthal.md', 'package.json', 'yarn.lock']",,Mike Bostock
e889a48467b839fa4cebc53e44e5be92de6d6189,two more anchors… hopefully the last (#3666),1686326938.0,"['docs/d3-geo/projection.md', 'docs/d3-scale/time.md']","[('docs/d3-geo/projection.md', [104, 112, 118], [104, 112, 118]), ('docs/d3-scale/time.md', [122], [122])]",Philippe Rivière
c2407c711fd7b09e0849e1d98f7d8a2f75343e9d,Merge branch 'main' of github.com:d3/d3,1686326211.0,"['docs/api.md', 'docs/d3-contour/contour.md', 'docs/d3-force.md', 'docs/d3-geo/path.md', 'docs/d3-geo/stream.md', 'docs/d3-interpolate/color.md', 'docs/d3-interpolate/value.md', 'docs/d3-scale/symlog.md', 'docs/d3-scale/time.md', 'docs/d3-selection/control-flow.md']",,Mike Bostock
