title,created,closed,,,label
Segfault on launch,1654613911,1654628300,2022-06-07T14:58:31Z,2022-06-07T18:58:20Z,bug
AUR go brrr,1654553176,1654553550,2022-06-06T22:06:16Z,2022-06-06T22:12:30Z,none
 Bug: hyprctl commands not response  after ...,1654507555,1654516101,2022-06-06T09:25:55Z,2022-06-06T11:48:21Z,bug
Fix error: attribute 'lastModifiedDate' missing,1654507546,1654513600,2022-06-06T09:25:46Z,2022-06-06T11:06:40Z,none
Some games don't work properly,1654505486,1654535419,2022-06-06T08:51:26Z,2022-06-06T17:10:19Z,bug
No possible build this package with cmake,1654503368,1654505329,2022-06-06T08:16:08Z,2022-06-06T08:48:49Z,enhancement
MPV behaves very strangely,1654494133,1654534592,2022-06-06T05:42:13Z,2022-06-06T16:56:32Z,bug
Feature: `app_id` in `hyprctl clients`,1654366049,1654367563,2022-06-04T18:07:29Z,2022-06-04T18:32:43Z,enhancement
Quick question: What bar was used in the screenshot? Im asking becuase i couldnt find any bar that supported the workspaces,1654318385,1654320888,2022-06-04T04:53:05Z,2022-06-04T05:34:48Z,none
"Hooray, more AUR stuff!",1654281243,1654281670,2022-06-03T18:34:03Z,2022-06-03T18:41:10Z,none
New release,1654251897,1654271892,2022-06-03T10:24:57Z,2022-06-03T15:58:12Z,enhancement
Checks incase you move a window to the currently focused workspace,1654245638,1654247980,2022-06-03T08:40:38Z,2022-06-03T09:19:40Z,bug
Small issue in workspace numbering/switching when special workspace present,1654181171,1654181933,2022-06-02T14:46:11Z,2022-06-02T14:58:53Z,bug
Defining variables as the output to commands,1654165158,1654165766,2022-06-02T10:19:18Z,2022-06-02T10:29:26Z,enhancement
Hardcoded /tmp/hypr problematic,1654138308,1654271477,2022-06-02T02:51:48Z,2022-06-03T15:51:17Z,bug
Crashes when closing a window with multiple monitors connected,1654134356,1654161819,2022-06-02T01:45:56Z,2022-06-02T09:23:39Z,bug
Window rules improvements,1654111438,1654161705,2022-06-01T19:23:58Z,2022-06-02T09:21:45Z,enhancement
Scale animation fails for firefox,1654098265,1654102823,2022-06-01T15:44:25Z,2022-06-01T17:00:23Z,bug
Drag fullscreen windows,1654097972,1654110803,2022-06-01T15:39:32Z,2022-06-01T19:13:23Z,bug
Setting wayland gui toolkit environment variables on startup,1654080515,1654095344,2022-06-01T10:48:35Z,2022-06-01T14:55:44Z,bug
Workspaces and disabling / enabling monitors.,1654078507,1654509628,2022-06-01T10:15:07Z,2022-06-06T10:00:28Z,bug
Overlay windows glitch with full damage tracking,1654070097,1654194924,2022-06-01T07:54:57Z,2022-06-02T18:35:24Z,bug
Crash when resuming from suspend,1654067413,1654071059,2022-06-01T07:10:13Z,2022-06-01T08:10:59Z,bug
Fix Nix build and add updater,1654038103,1654192074,2022-05-31T23:01:43Z,2022-06-02T17:47:54Z,none
OpenGL errors while using mpv,1654035951,1654534605,2022-05-31T22:25:51Z,2022-06-06T16:56:45Z,bug
Issues with compiled releases,1654028438,1654028641,2022-05-31T20:20:38Z,2022-05-31T20:24:01Z,none
More AUR stuff,1654028246,1654030156,2022-05-31T20:17:26Z,2022-05-31T20:49:16Z,none
Add option to hide borders when 1 window is open,1654017717,1654018449,2022-05-31T17:21:57Z,2022-05-31T17:34:09Z,enhancement
Docs: add info on decoration,1654017530,1654017608,2022-05-31T17:18:50Z,2022-05-31T17:20:08Z,enhancement
Gtk4 windows dont render correctly,1654013425,1654013562,2022-05-31T16:10:25Z,2022-05-31T16:12:42Z,bug
