issue_id,issue_number,title,state,created,closed,labels
1686566406,50194,Add fieldset and legend to radio inputs in the shows components,open,2023-04-27T10:27:32Z,2023-04-27 13:42:13.341892,"[{'id': 199835579, 'node_id': 'MDU6TGFiZWwxOTk4MzU1Nzk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20discussing', 'name': 'status: discussing', 'color': '083093', 'default': False, 'description': 'Under discussion threads. Closed as stale after 60 days of inactivity.'}, {'id': 802122369, 'node_id': 'MDU6TGFiZWw4MDIxMjIzNjk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/platform:%20client', 'name': 'platform: client', 'color': '59d683', 'default': False, 'description': 'UI side of the client application that needs familiarity with React, Gatsby etc.'}, {'id': 978471857, 'node_id': 'MDU6TGFiZWw5Nzg0NzE4NTc=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': '500d87', 'default': False, 'description': 'Threads classified to be feature requests. Implementation to be considered as a nice to have'}]"
1683772971,50185,Documentation: Languages.ChineseTrandational should be Languages.ChineseTraditional,closed,2023-04-25T19:56:05Z,2023-04-26T03:54:15Z,"[{'id': 160629922, 'node_id': 'MDU6TGFiZWwxNjA2Mjk5MjI=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20bug', 'name': 'type: bug', 'color': '500d87', 'default': False, 'description': 'Issues that need priority attention. Platform, Curriculum tests (if broken completely), etc.'}, {'id': 807966675, 'node_id': 'MDU6TGFiZWw4MDc5NjY2NzU=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20waiting%20triage', 'name': 'status: waiting triage', 'color': 'd93f0b', 'default': False, 'description': 'This issue needs help from moderators and users to reproduce and confirm its validity and fix.'}]"
1683445406,50184,Standardize error + flash responses,open,2023-04-25T15:56:21Z,2023-04-27 13:42:13.341892,"[{'id': 199835579, 'node_id': 'MDU6TGFiZWwxOTk4MzU1Nzk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20discussing', 'name': 'status: discussing', 'color': '083093', 'default': False, 'description': 'Under discussion threads. Closed as stale after 60 days of inactivity.'}]"
1683307992,50182,Record Collection still could be clearer,open,2023-04-25T14:40:00Z,2023-04-27 13:42:13.341892,"[{'id': 199835579, 'node_id': 'MDU6TGFiZWwxOTk4MzU1Nzk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20discussing', 'name': 'status: discussing', 'color': '083093', 'default': False, 'description': 'Under discussion threads. Closed as stale after 60 days of inactivity.'}, {'id': 252661769, 'node_id': 'MDU6TGFiZWwyNTI2NjE3Njk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/scope:%20curriculum', 'name': 'scope: curriculum', 'color': '4969c1', 'default': False, 'description': 'Lessons, Challenges, Projects and other Curricular Content in curriculum directory.'}]"
1682113540,50174,Encountered an error when trying to import the exported conversation file,closed,2023-04-24T22:08:59Z,2023-04-25T02:25:45Z,[]
1681564976,50171,feature flags for client,open,2023-04-24T15:40:56Z,2023-04-27 13:42:13.341892,"[{'id': 978471857, 'node_id': 'MDU6TGFiZWw5Nzg0NzE4NTc=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': '500d87', 'default': False, 'description': 'Threads classified to be feature requests. Implementation to be considered as a nice to have'}]"
1681339135,50170,Issues loading the remote environment for the relational database course ,closed,2023-04-24T13:58:10Z,2023-04-24T16:29:47Z,[]
1681335300,50169,Change the action name from previewMounted to updatePreview in show file,closed,2023-04-24T13:56:52Z,2023-04-27T11:37:54Z,"[{'id': 802122369, 'node_id': 'MDU6TGFiZWw4MDIxMjIzNjk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/platform:%20client', 'name': 'platform: client', 'color': '59d683', 'default': False, 'description': 'UI side of the client application that needs familiarity with React, Gatsby etc.'}, {'id': 978471857, 'node_id': 'MDU6TGFiZWw5Nzg0NzE4NTc=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': '500d87', 'default': False, 'description': 'Threads classified to be feature requests. Implementation to be considered as a nice to have'}]"
1680770404,50161,can't  launch editor at  `learn-git-by-building-an-sql-reference-object/build-an-sql-reference-object`,closed,2023-04-24T09:00:08Z,2023-04-25T13:59:42Z,"[{'id': 160629922, 'node_id': 'MDU6TGFiZWwxNjA2Mjk5MjI=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20bug', 'name': 'type: bug', 'color': '500d87', 'default': False, 'description': 'Issues that need priority attention. Platform, Curriculum tests (if broken completely), etc.'}, {'id': 252661769, 'node_id': 'MDU6TGFiZWwyNTI2NjE3Njk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/scope:%20curriculum', 'name': 'scope: curriculum', 'color': '4969c1', 'default': False, 'description': 'Lessons, Challenges, Projects and other Curricular Content in curriculum directory.'}]"
1680049296,50155,Improvement in Create Reusable CSS with Mixins module,open,2023-04-23T14:36:27Z,2023-04-27 13:42:13.341892,"[{'id': 160629922, 'node_id': 'MDU6TGFiZWwxNjA2Mjk5MjI=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20bug', 'name': 'type: bug', 'color': '500d87', 'default': False, 'description': 'Issues that need priority attention. Platform, Curriculum tests (if broken completely), etc.'}, {'id': 252661769, 'node_id': 'MDU6TGFiZWwyNTI2NjE3Njk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/scope:%20curriculum', 'name': 'scope: curriculum', 'color': '4969c1', 'default': False, 'description': 'Lessons, Challenges, Projects and other Curricular Content in curriculum directory.'}, {'id': 807966675, 'node_id': 'MDU6TGFiZWw4MDc5NjY2NzU=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20waiting%20triage', 'name': 'status: waiting triage', 'color': 'd93f0b', 'default': False, 'description': 'This issue needs help from moderators and users to reproduce and confirm its validity and fix.'}]"
