message,created,files_updated,diff,author
"Merge pull request #213 from ThatOneCalculator/mirror

Change wlroots submodule url to github mirror",1655154988,['.gitmodules'],"[('.gitmodules', [3], [3])]",vaxerski
Change wlroots submodule url to github mirror,1655154649,['.gitmodules'],"[('.gitmodules', [3], [3])]",ThatOneCalculator
update contrib link in readme,1655152201,['README.md'],,vaxerski
"Merge pull request #200 from siemato/main

Added Touchpad Config options",1655137817,"['src/config/ConfigManager.cpp', 'src/managers/input/InputManager.cpp']","[('src/config/ConfigManager.cpp', [89, 90, 91], []), ('src/managers/input/InputManager.cpp', [330, 331, 332, 333, 335, 336, 337, 338, 339, 340, 343, 344], [331])]",vaxerski
Codestyle,1655046418,['src/managers/input/InputManager.cpp'],"[('src/config/ConfigManager.cpp', [89, 90, 91], []), ('src/managers/input/InputManager.cpp', [330, 331, 332, 333, 335, 336, 337, 338, 339, 340, 343, 344], [331])]",Marco Siedentopf
Merge branch 'vaxerski:main' into main,1655046242,['src/managers/input/InputManager.cpp'],"[('src/config/ConfigManager.cpp', [89, 90, 91], []), ('src/managers/input/InputManager.cpp', [330, 331, 332, 333, 335, 336, 337, 338, 339, 340, 343, 344], [331])]",Marco Siedentopf
"Merge pull request #197 from spectreseven1138/main

Add loose follow_mouse option",1655037067,['src/managers/input/InputManager.cpp'],"[('src/managers/input/InputManager.cpp', [170, 171, 177, 178, 179], [170])]",vaxerski
Access config value statically,1655019116,['src/managers/input/InputManager.cpp'],"[('src/managers/input/InputManager.cpp', [170, 171, 177, 178, 179], [170])]",spectreseven1138
"Implemented Config options for Touchpads

Implemented Options to 1. toggle between clickfinger behavior and software buttons, 2. button emulation and 3. tap-to-click",1655012406,['src/managers/input/InputManager.cpp'],"[('src/config/ConfigManager.cpp', [89, 90, 91], []), ('src/managers/input/InputManager.cpp', [330, 331, 332, 333, 335, 336, 337, 338, 339, 340, 343, 344], [331])]",Marco Siedentopf
"Added Config options for Touchpads

Added Options to 1. toggle between clickfinger behavior and software buttons, 2. middle button emulation and 3. tap-to-click",1655012401,['src/config/ConfigManager.cpp'],"[('src/config/ConfigManager.cpp', [89, 90, 91], []), ('src/managers/input/InputManager.cpp', [330, 331, 332, 333, 335, 336, 337, 338, 339, 340, 343, 344], [331])]",Marco Siedentopf
Add loose (2) option to follow_mouse config,1654992862,['src/managers/input/InputManager.cpp'],"[('src/managers/input/InputManager.cpp', [170, 171, 177, 178, 179], [170])]",spectreseven1138
Note Hypr and Hyprland's differences in readme,1654978241,['README.md'],,vaxerski
"Merge pull request #195 from PowerBall253/main

Add natural_scrolling option for touchpads only",1654964784,"['src/config/ConfigManager.cpp', 'src/managers/input/InputManager.cpp']","[('src/config/ConfigManager.cpp', [87], []), ('src/managers/input/InputManager.cpp', [329, 330, 332, 333, 334, 335, 336], [329, 330])]",vaxerski
Add natural_scrolling option for touchpads only,1654961040,"['src/config/ConfigManager.cpp', 'src/managers/input/InputManager.cpp']","[('src/config/ConfigManager.cpp', [87], []), ('src/managers/input/InputManager.cpp', [329, 330, 332, 333, 334, 335, 336], [329, 330])]",Bruno Ancona
"Merge pull request #194 from frigaut/main

fullscreen fix",1654959979,['src/managers/KeybindManager.cpp'],"[('src/managers/KeybindManager.cpp', [340], [340])]",vaxerski
fullscreen fix,1654958260,['src/managers/KeybindManager.cpp'],"[('src/managers/KeybindManager.cpp', [340], [340])]",Francois Rigaut
find surfaces in reverse for focus,1654867110,['src/Compositor.cpp'],,vaxerski
added focuswindowbyclass,1654855587,"['src/managers/KeybindManager.cpp', 'src/managers/KeybindManager.hpp']",,vaxerski
cyclenext,1654854112,['src/managers/KeybindManager.cpp'],,vaxerski
Added circlenext,1654853946,"['src/managers/KeybindManager.cpp', 'src/managers/KeybindManager.hpp']",,vaxerski
"Merge pull request #174 from ThatOneCalculator/main

Change features section in readme",1654805626,['README.md'],"[('README.md', [54, 57, 59, 60, 61, 62, 63, 65, 67, 69], [54, 57, 59, 60, 61, 62, 64, 66])]",vaxerski
remove unfocusall,1654805253,"['src/managers/input/InputManager.cpp', 'src/managers/input/InputManager.hpp', 'src/managers/input/Tablets.cpp']",,vaxerski
Merge branch 'vaxerski:main' into main,1654804687,"['src/Compositor.hpp', 'src/config/ConfigManager.cpp', 'src/debug/HyprCtl.cpp', 'src/events/Devices.cpp', 'src/events/Layers.cpp', 'src/events/Misc.cpp', 'src/events/Monitors.cpp', 'src/events/Popups.cpp', 'src/events/Windows.cpp', 'src/helpers/WLClasses.hpp', 'src/managers/input/InputManager.cpp', 'src/managers/input/InputManager.hpp', 'src/managers/input/Tablets.cpp']","[('README.md', [54, 57, 59, 60, 61, 62, 63, 65, 67, 69], [54, 57, 59, 60, 61, 62, 64, 66])]",Kainoa Kanter
"Merge pull request #177 from vaxerski/tablets

Added Tablets support",1654804450,"['src/Compositor.hpp', 'src/config/ConfigManager.cpp', 'src/debug/HyprCtl.cpp', 'src/events/Devices.cpp', 'src/events/Layers.cpp', 'src/events/Misc.cpp', 'src/events/Monitors.cpp', 'src/events/Popups.cpp', 'src/events/Windows.cpp', 'src/helpers/WLClasses.hpp', 'src/managers/input/InputManager.cpp', 'src/managers/input/InputManager.hpp', 'src/managers/input/Tablets.cpp']","[('src/Compositor.hpp', [13], [13]), ('src/config/ConfigManager.cpp', [160, 162, 163, 164, 165, 167, 170], [160]), ('src/debug/HyprCtl.cpp', [91, 93, 94, 95, 97, 98, 99, 101, 102, 103], []), ('src/events/Devices.cpp', [5, 81, 82, 83, 84, 85, 86, 87, 88, 94], [5, 86, 88]), ('src/events/Layers.cpp', [3, 29], [3, 29]), ('src/events/Misc.cpp', [5], [5]), ('src/events/Monitors.cpp', [3], [3]), ('src/events/Popups.cpp', [5], [5]), ('src/events/Windows.cpp', [5], [5]), ('src/helpers/WLClasses.hpp', [156, 158, 159, 160, 161, 162, 163, 165, 166, 167, 169, 170, 171, 172, 174, 175, 176, 178, 180, 182, 183, 185, 187, 188, 190, 191, 192, 193, 195, 196, 197, 199, 200, 201, 202, 203, 205, 206, 207], []), ('src/managers/input/InputManager.cpp', [2, 5, 22, 507, 508, 510, 511, 512, 513, 514, 515, 516, 517, 518, 519, 520, 521, 522, 524, 525], [2]), ('src/managers/input/InputManager.hpp', [3, 5, 6, 31, 44, 45, 46, 47, 49, 50, 51, 57, 61, 63], [3, 5, 6]), ('src/managers/input/Tablets.cpp', [1, 2, 4, 5, 7, 8, 9, 10, 12, 14, 16, 17, 19, 21, 23, 24, 26, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 46, 47, 48, 50, 51, 53, 54, 56, 57, 59, 60, 62, 63, 65, 66, 68, 69, 71, 72, 74, 75, 77, 79, 80, 81, 83, 85, 86, 87, 88, 89, 90, 91, 92, 93, 95, 97, 98, 99, 101, 103, 105, 107, 108, 109, 111, 113, 114, 116, 117, 118, 119, 121, 122, 123, 124, 125, 127, 128, 130, 131, 132, 134, 136, 137, 139, 141, 142, 144, 146, 147, 148, 150, 151, 153, 154, 156, 157, 159, 161, 163, 164, 166, 167, 169, 171, 173, 174, 176, 178, 180, 182, 183, 185, 187, 189, 191, 192, 194, 196, 197, 199, 201, 203, 205, 207, 209, 211, 212, 214, 215, 217, 218, 220, 222, 223, 225, 226, 227, 228, 230, 231, 232, 233, 234, 235, 236, 238, 239, 240, 241, 243, 244, 245], [])]",vaxerski
