Issue Title,Created Date (UTC Timestamp),Closed Date (UTC Timestamp)
chore(deps): update dependency autoprefixer to v10.3.5,1632301214.0,1632310224.0
chore(deps): update dependency @rollup/plugin-node-resolve to v13.0.5,1632267513.0,1632300781.0
chore(deps): update codesee to v0.92.2,1632267215.0,1632280227.0
feat: enable japanese docs,1632250561.0,1632270762.0
fix: removed extra blank link between sections,1632245761.0,1632245831.0
chore(deps): update dependency puppeteer to v10.4.0,1632245742.0,1632253418.0
refactor: use the view zones to place the widgets,1632241392.0,1632283169.0
fix(deps): update dependency node-fetch to v2.6.4,1632232802.0,1632235418.0
test: fix wait for hotkey navigation,1632232649.0,1632236251.0
refactor: minor clean up of editor,1632221979.0,1632227713.0
test: ignore ChunkLoadError,1632215661.0,1632227794.0
chore(deps): update dependency eslint-plugin-react to v7.26.0,1632199699.0,1632207170.0
fix(deps): update dependency node-fetch to v2.6.3,1632183299.0,1632199259.0
chore(deps): update codesee to v0.92.1,1632176199.0,1632189721.0
feat(actions): remove codesee map from renovate prs,1632162821.0,1632211104.0
chore(deps): update typescript-eslint monorepo to v4.31.2,1632162807.0,1632175748.0
fix(curriculum): changed JSX concept based on the stand of XML,1632156262.0,1632162365.0
chore(deps): update dependency jest to v27.2.1,1632148668.0,1632162358.0
feat(tools): add CodeSee architecture diagram workflow,1632145197.0,1632151720.0
"chore(i18n,curriculum): processed translations",1632142187.0,1632236954.0
Autho code removal snapchat,1632119318.0,1632120616.0
Given space for more readability,1632114974.0,1632117458.0
Consistency of writing,1632103973.0,1632214031.0
chore(deps): update dependency eslint-plugin-testing-library to v4.12.3,1632090655.0,1632096442.0
feat(curriculum): add solution,1632061640.0,1632236302.0
Update create-an-es6-javascript-map.md,1632061524.0,1632061570.0
"chore(i18n,curriculum): processed translations",1632055714.0,1632078714.0
"chore(i18n,client): processed translations",1632054324.0,1632078212.0
refactor(client): migrating ActionRow.js to TypeScript,1632016505.0,1632212035.0
"chore(i18n,client): processed translations",1631967917.0,1631989425.0
